Order;GroupID;CenterSize;kG;ClassSizes;Rank;Nilpotent;Solvable;DerivedLength;FittingDerivedLength;FittingSize;PrimeDivisors;CommutingProb;Ratio
384;384.8578;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8579;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8580;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8581;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8582;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8583;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8584;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8585;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8586;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8587;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8588;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8589;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8590;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8591;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
